TicksTime,BallPosX,BallPosY,BallSpeed,PosB,PosPC,ScoreB,ScorePC
25700,759,308,4,307,270,0,0
,,,,,,,
25715,763,304,4,307,264,0,0
,,,,,,,
25726,767,300,4,307,258,0,0
,,,,,,,
25740,771,296,4,307,252,0,0
,,,,,,,
25753,775,292,4,307,246,0,0
,,,,,,,
25766,779,288,4,307,240,0,0
,,,,,,,
25779,783,284,4,307,234,0,0
,,,,,,,
25792,787,280,4,307,228,0,0
,,,,,,,
25806,791,276,4,307,222,0,0
,,,,,,,
25819,795,272,4,307,216,0,0
,,,,,,,
25833,799,268,4,307,210,0,0
,,,,,,,
25846,803,264,4,307,204,0,0
,,,,,,,
25859,807,260,4,307,198,0,0
,,,,,,,
25874,811,256,4,307,192,0,0
,,,,,,,
25886,815,252,4,307,186,0,0
,,,,,,,
25900,819,248,4,307,180,0,0
,,,,,,,
25916,823,244,4,307,174,0,0
,,,,,,,
25930,827,240,4,307,168,0,0
,,,,,,,
25943,831,236,4,307,162,0,0
,,,,,,,
25956,835,232,4,307,156,0,0
,,,,,,,
25973,839,228,4,307,150,0,0
,,,,,,,
25988,843,224,4,307,144,0,0
,,,,,,,
26001,847,220,4,307,138,0,0
,,,,,,,
26017,851,216,4,307,132,0,0
,,,,,,,
26033,855,212,4,307,126,0,0
,,,,,,,
26045,859,208,4,307,120,0,0
,,,,,,,
26058,863,204,4,307,114,0,0
,,,,,,,
26073,867,200,4,307,108,0,0
,,,,,,,
26084,871,196,4,307,108,0,0
,,,,,,,
26099,875,192,4,307,108,0,0
,,,,,,,
26111,879,188,4,307,108,0,0
,,,,,,,
26125,883,184,4,307,108,0,0
,,,,,,,
26138,887,180,4,307,108,0,0
,,,,,,,
26152,891,176,4,307,108,0,0
,,,,,,,
26167,895,172,4,307,108,0,0
,,,,,,,
26184,899,168,4,307,108,0,0
,,,,,,,
26196,903,164,4,307,108,0,0
,,,,,,,
26211,907,160,4,307,108,0,0
,,,,,,,
26224,911,156,4,307,108,0,0
,,,,,,,
26240,915,152,4,307,108,0,0
,,,,,,,
26255,919,148,4,307,108,0,0
,,,,,,,
26267,923,144,4,307,108,0,0
,,,,,,,
26283,927,140,4,307,108,0,0
,,,,,,,
26295,931,136,4,307,108,0,0
,,,,,,,
26308,935,132,4,307,108,0,0
,,,,,,,
26321,939,128,4,307,108,0,0
,,,,,,,
26333,943,124,4,307,108,0,0
,,,,,,,
26348,947,120,4,307,108,0,0
,,,,,,,
26359,951,116,4,307,102,0,0
,,,,,,,
26375,955,112,4,307,102,0,0
,,,,,,,
26389,959,108,4,307,102,0,0
,,,,,,,
26403,963,104,4,307,102,0,0
,,,,,,,
26418,967,100,4,307,102,0,0
,,,,,,,
26432,971,96,4,307,102,0,0
,,,,,,,
26444,975,92,4,307,102,0,0
,,,,,,,
26458,979,88,4,307,102,0,0
,,,,,,,
26470,983,84,4,307,96,0,0
,,,,,,,
26484,987,80,4,307,96,0,0
,,,,,,,
26499,991,76,4,307,96,0,0
,,,,,,,
26512,995,72,4,307,96,0,0
,,,,,,,
26526,999,68,4,307,96,0,0
,,,,,,,
26540,1003,64,4,307,96,0,0
,,,,,,,
26555,1007,60,4,307,96,0,0
,,,,,,,
26568,1011,56,4,307,96,0,0
,,,,,,,
26582,1015,52,4,307,96,0,0
,,,,,,,
26594,1019,48,4,307,96,0,0
,,,,,,,
26607,1023,44,4,307,96,0,0
,,,,,,,
26622,1027,40,4,307,96,0,0
,,,,,,,
26634,1031,36,4,307,90,0,0
,,,,,,,
26650,1035,32,4,307,90,0,0
,,,,,,,
26663,1039,28,4,307,90,0,0
,,,,,,,
26676,1043,24,4,307,90,0,0
,,,,,,,
26691,1047,20,4,307,90,0,0
,,,,,,,
26705,1051,16,4,307,90,0,0
,,,,,,,
26718,1055,12,4,307,90,0,0
,,,,,,,
26733,1059,8,4,307,84,0,0
,,,,,,,
26744,1063,12,4,307,84,0,0
,,,,,,,
26757,1067,16,4,307,84,0,0
,,,,,,,
26773,1071,20,4,307,84,0,0
,,,,,,,
26785,1075,24,4,307,84,0,0
,,,,,,,
26800,1079,28,4,307,84,0,0
,,,,,,,
26813,1083,32,4,307,84,0,0
,,,,,,,
