M-A,M-B,S-A,S-B,M-C,M-D,S-C,S-D,M-E,M-F,S-E,S-F,All
,701.0,707.0,,,775.0,,783.0,,713.0,703.0,,701.0
,701.0,707.0,,,775.0,,783.0,,713.0,703.0,,707.0
,701.0,707.0,,,775.0,,783.0,,713.0,703.0,,775.0
,701.0,707.0,,,775.0,,783.0,,713.0,703.0,,783.0
,701.0,707.0,,,775.0,,783.0,,713.0,703.0,,713.0
,701.0,707.0,,,775.0,,783.0,,713.0,703.0,,703.0
745.0,,,673.0,630.0,,623.0,,817.0,,,816.0,745.0
745.0,,,673.0,630.0,,623.0,,817.0,,,816.0,673.0
745.0,,,673.0,630.0,,623.0,,817.0,,,816.0,630.0
745.0,,,673.0,630.0,,623.0,,817.0,,,816.0,623.0
745.0,,,673.0,630.0,,623.0,,817.0,,,816.0,817.0
745.0,,,673.0,630.0,,623.0,,817.0,,,816.0,816.0
,682.0,699.0,,632.0,,,771.0,,712.0,719.0,,682.0
,682.0,699.0,,632.0,,,771.0,,712.0,719.0,,699.0
,682.0,699.0,,632.0,,,771.0,,712.0,719.0,,632.0
,682.0,699.0,,632.0,,,771.0,,712.0,719.0,,771.0
,682.0,699.0,,632.0,,,771.0,,712.0,719.0,,712.0
,682.0,699.0,,632.0,,,771.0,,712.0,719.0,,719.0
,682.0,,676.0,,792.0,627.0,,836.0,,,774.0,682.0
,682.0,,676.0,,792.0,627.0,,836.0,,,774.0,676.0
,682.0,,676.0,,792.0,627.0,,836.0,,,774.0,792.0
,682.0,,676.0,,792.0,627.0,,836.0,,,774.0,627.0
,682.0,,676.0,,792.0,627.0,,836.0,,,774.0,836.0
,682.0,,676.0,,792.0,627.0,,836.0,,,774.0,774.0
779.0,,716.0,,641.0,,,776.0,,692.0,782.0,,779.0
779.0,,716.0,,641.0,,,776.0,,692.0,782.0,,716.0
779.0,,716.0,,641.0,,,776.0,,692.0,782.0,,641.0
779.0,,716.0,,641.0,,,776.0,,692.0,782.0,,776.0
779.0,,716.0,,641.0,,,776.0,,692.0,782.0,,692.0
779.0,,716.0,,641.0,,,776.0,,692.0,782.0,,782.0
,691.0,,662.0,,802.0,641.0,,852.0,,,760.0,691.0
,691.0,,662.0,,802.0,641.0,,852.0,,,760.0,662.0
,691.0,,662.0,,802.0,641.0,,852.0,,,760.0,802.0
,691.0,,662.0,,802.0,641.0,,852.0,,,760.0,641.0
,691.0,,662.0,,802.0,641.0,,852.0,,,760.0,852.0
,691.0,,662.0,,802.0,641.0,,852.0,,,760.0,760.0
780.0,,,644.0,635.0,,667.0,,,747.0,802.0,,780.0
780.0,,,644.0,635.0,,667.0,,,747.0,802.0,,644.0
780.0,,,644.0,635.0,,667.0,,,747.0,802.0,,635.0
780.0,,,644.0,635.0,,667.0,,,747.0,802.0,,667.0
780.0,,,644.0,635.0,,667.0,,,747.0,802.0,,747.0
780.0,,,644.0,635.0,,667.0,,,747.0,802.0,,802.0
,693.0,725.0,,,833.0,,774.0,842.0,,,791.0,693.0
,693.0,725.0,,,833.0,,774.0,842.0,,,791.0,725.0
,693.0,725.0,,,833.0,,774.0,842.0,,,791.0,833.0
,693.0,725.0,,,833.0,,774.0,842.0,,,791.0,774.0
,693.0,725.0,,,833.0,,774.0,842.0,,,791.0,842.0
,693.0,725.0,,,833.0,,774.0,842.0,,,791.0,791.0
751.0,,,622.0,618.0,,691.0,,,757.0,824.0,,751.0
751.0,,,622.0,618.0,,691.0,,,757.0,824.0,,622.0
751.0,,,622.0,618.0,,691.0,,,757.0,824.0,,618.0
751.0,,,622.0,618.0,,691.0,,,757.0,824.0,,691.0
751.0,,,622.0,618.0,,691.0,,,757.0,824.0,,757.0
751.0,,,622.0,618.0,,691.0,,,757.0,824.0,,824.0
,671.0,702.0,,,845.0,,781.0,830.0,,,837.0,671.0
,671.0,702.0,,,845.0,,781.0,830.0,,,837.0,702.0
,671.0,702.0,,,845.0,,781.0,830.0,,,837.0,845.0
