Instante,RR_E,RR_F,Pos_E,Pos_F,Delta_PosE,Delta_PosF
232000.0,806.0,751.0,224.0,0.0,0.0,0.0
232800.0,808.0,765.0,224.0,0.0,0.0,0.0
233600.0,797.0,797.0,224.0,70.0,0.0,0.0
234400.0,789.0,771.0,224.0,0.0,0.0,196.0
235200.0,813.0,772.0,224.0,0.0,0.0,112.0
236000.0,827.0,818.0,156.0,0.0,0.0,164.0
236800.0,835.0,872.0,336.0,0.0,0.0,102.0
237600.0,818.0,825.0,392.0,0.0,0.0,0.0
238400.0,803.0,814.0,391.0,0.0,0.0,0.0
239200.0,794.0,826.0,238.0,0.0,0.0,314.0
240000.0,791.0,812.0,238.0,0.0,0.0,170.0
240800.0,793.0,764.0,301.0,0.0,0.0,0.0
241600.0,801.0,760.0,301.0,0.0,265.0,196.0
242400.0,809.0,769.0,301.0,309.0,141.0,0.0
243200.0,817.0,748.0,301.0,447.0,0.0,0.0
244000.0,815.0,764.0,301.0,448.0,0.0,0.0
244800.0,800.0,791.0,226.0,448.0,0.0,77.0
245600.0,819.0,813.0,161.0,448.0,0.0,17.0
246400.0,812.0,775.0,231.0,448.0,371.0,67.0
247200.0,811.0,773.0,231.0,448.0,231.0,0.0
248000.0,798.0,803.0,231.0,360.0,0.0,6.0
248800.0,798.0,797.0,231.0,210.0,0.0,162.0
249600.0,810.0,749.0,231.0,0.0,0.0,185.0
250400.0,810.0,742.0,276.0,0.0,0.0,214.0
251200.0,823.0,744.0,406.0,0.0,306.0,210.0
252000.0,824.0,770.0,469.0,0.0,114.0,0.0
252800.0,812.0,748.0,469.0,0.0,0.0,0.0
253600.0,788.0,742.0,259.0,0.0,0.0,5.0
254400.0,781.0,764.0,259.0,0.0,0.0,317.0
255200.0,794.0,803.0,203.0,0.0,0.0,69.0
256000.0,799.0,785.0,273.0,0.0,0.0,183.0
256800.0,816.0,748.0,273.0,322.0,91.0,0.0
257600.0,835.0,739.0,273.0,546.0,0.0,227.0
258400.0,852.0,717.0,273.0,218.0,0.0,102.0
259200.0,837.0,706.0,273.0,217.0,0.0,0.0
260000.0,804.0,686.0,385.0,217.0,203.0,147.0
260800.0,799.0,680.0,638.0,217.0,98.0,0.0
261600.0,789.0,726.0,638.0,217.0,16.0,0.0
262400.0,788.0,746.0,414.0,217.0,152.0,84.0
263200.0,784.0,757.0,281.0,217.0,0.0,77.0
264000.0,793.0,811.0,281.0,175.0,164.0,0.0
264800.0,807.0,828.0,281.0,215.0,242.0,77.0
265600.0,792.0,776.0,281.0,581.0,0.0,0.0
266400.0,778.0,758.0,192.0,581.0,0.0,154.0
267200.0,791.0,762.0,8.0,581.0,0.0,163.0
268000.0,785.0,737.0,0.0,581.0,0.0,21.0
268800.0,801.0,738.0,119.0,581.0,0.0,173.0
269600.0,823.0,759.0,231.0,581.0,0.0,210.0
270400.0,816.0,788.0,245.0,222.0,0.0,0.0
271200.0,794.0,791.0,245.0,126.0,0.0,0.0
272000.0,776.0,769.0,258.0,126.0,0.0,0.0
272800.0,780.0,777.0,516.0,126.0,0.0,0.0
273600.0,769.0,762.0,587.0,126.0,0.0,0.0
274400.0,770.0,742.0,371.0,126.0,0.0,0.0
275200.0,764.0,759.0,301.0,336.0,0.0,192.0
276000.0,747.0,781.0,301.0,595.0,0.0,312.0
276800.0,747.0,774.0,301.0,638.0,0.0,0.0
277600.0,738.0,797.0,314.0,638.0,0.0,238.0
278400.0,759.0,813.0,328.0,638.0,0.0,0.0
279200.0,779.0,783.0,143.0,638.0,0.0,0.0
280000.0,796.0,755.0,518.0,638.0,114.0,49.0
280800.0,796.0,753.0,360.0,546.0,382.0,0.0
281600.0,793.0,775.0,217.0,148.0,50.0,0.0
282400.0,762.0,765.0,217.0,106.0,0.0,0.0
283200.0,753.0,778.0,217.0,106.0,0.0,0.0
284000.0,765.0,793.0,217.0,218.0,0.0,132.0
