TicksTime,PosB,PosA,ScoreB,ScoreA
29104,223,307,0,0
,,,,
29120,223,300,0,0
,,,,
29135,223,293,0,0
,,,,
29145,223,286,0,0
,,,,
29160,223,279,0,0
,,,,
29175,223,272,0,0
,,,,
29191,223,272,0,0
,,,,
29204,223,272,0,0
,,,,
29219,223,272,0,0
,,,,
29232,223,272,0,0
,,,,
29244,223,272,0,0
,,,,
29258,223,272,0,0
,,,,
29272,223,272,0,0
,,,,
29287,223,272,0,0
,,,,
29302,223,272,0,0
,,,,
29316,223,272,0,0
,,,,
29328,223,272,0,0
,,,,
29342,223,272,0,0
,,,,
29354,223,272,0,0
,,,,
29367,223,272,0,0
,,,,
29379,223,272,0,0
,,,,
29393,223,272,0,0
,,,,
29404,223,272,0,0
,,,,
29417,223,272,0,0
,,,,
29429,223,272,0,0
,,,,
29443,223,272,0,0
,,,,
29456,223,272,0,0
,,,,
29470,223,272,0,0
,,,,
29485,223,272,0,0
,,,,
29499,223,272,0,0
,,,,
29513,223,272,0,0
,,,,
29527,223,272,0,0
,,,,
29541,223,272,0,0
,,,,
29554,223,272,0,0
,,,,
29568,223,272,0,0
,,,,
29580,223,272,0,0
,,,,
29593,223,272,0,0
,,,,
29608,223,272,0,0
,,,,
29621,223,279,0,0
,,,,
29636,223,286,0,0
,,,,
29647,223,293,0,0
,,,,
29659,223,300,0,0
,,,,
29672,223,307,0,0
,,,,
29684,223,314,0,0
,,,,
29695,223,321,0,0
,,,,
29709,223,328,0,0
,,,,
29720,223,335,0,0
,,,,
29735,223,342,0,0
,,,,
29748,223,349,0,0
,,,,
29761,223,356,0,0
,,,,
29775,223,363,0,0
,,,,
29788,223,370,0,0
,,,,
29802,223,377,0,0
,,,,
29815,223,384,0,0
,,,,
29828,223,391,0,0
,,,,
29842,223,398,0,0
,,,,
29856,223,405,0,0
,,,,
29872,223,412,0,0
,,,,
29886,223,419,0,0
,,,,
29897,223,426,0,0
,,,,
29909,223,433,0,0
,,,,
29925,223,440,0,0
,,,,
29939,223,447,0,0
,,,,
29954,223,454,0,0
,,,,
29967,223,461,0,0
,,,,
29980,223,468,0,0
,,,,
29994,223,475,0,0
,,,,
30008,223,482,0,0
,,,,
30019,223,489,0,0
,,,,
30033,223,496,0,0
,,,,
30045,223,503,0,0
,,,,
30059,223,510,0,0
,,,,
30072,223,517,0,0
,,,,
30086,223,524,0,0
,,,,
30098,223,531,0,0
,,,,
30110,223,538,0,0
,,,,
30123,223,545,0,0
,,,,
30136,223,552,0,0
,,,,
30151,223,559,0,0
,,,,
30162,223,566,0,0
,,,,
30177,223,573,0,0
,,,,
30191,223,580,0,0
,,,,
30207,223,587,0,0
,,,,
30221,223,594,0,0
,,,,
30235,223,601,0,0
,,,,
30247,223,608,0,0
,,,,
30260,223,615,0,0
,,,,
30275,223,622,0,0
,,,,
30287,223,629,0,0
,,,,
30302,223,636,0,0
,,,,
30314,223,638,0,0
,,,,
30328,223,638,0,0
,,,,
30343,223,638,0,0
,,,,
30355,223,638,0,0
,,,,
30369,223,638,0,0
,,,,
30383,223,638,0,0
,,,,
30394,223,638,0,0
,,,,
30408,223,638,0,0
,,,,
30422,223,638,0,0
,,,,
30435,223,638,0,0
,,,,
30448,223,638,0,0
,,,,
30461,223,638,0,0
,,,,
30475,223,638,0,0
,,,,
30486,223,638,0,0
,,,,
30500,223,638,0,0
,,,,
30513,223,638,0,0
,,,,
30526,223,638,0,0
,,,,
30541,223,638,0,0
,,,,
30554,223,638,0,0
,,,,
30567,223,638,0,0
,,,,
30580,223,638,0,0
,,,,
30592,223,638,0,0
,,,,
30606,223,638,0,0
,,,,
30619,223,638,0,0
,,,,
30633,223,638,0,0
,,,,
30646,223,638,0,0
,,,,
30659,223,638,0,0
,,,,
30672,223,638,0,0
,,,,
30684,223,638,0,0
,,,,
30696,223,638,0,0
,,,,
30711,223,638,0,0
,,,,
30725,223,638,0,0
,,,,
30737,223,638,0,0
,,,,
30752,223,638,0,0
,,,,
30764,223,638,0,0
,,,,
30776,223,638,0,0
,,,,
30788,223,638,0,0
,,,,
30802,223,638,0,0
,,,,
30813,223,638,0,0
,,,,
30828,223,638,0,0
,,,,
30842,223,638,0,0
,,,,
30854,223,638,0,0
,,,,
30868,223,638,0,0
,,,,
30880,223,638,0,0
,,,,
30893,223,638,0,0
,,,,
30909,223,638,0,0
,,,,
30920,223,638,0,0
,,,,
30936,223,638,0,0
,,,,
30948,223,638,0,0
,,,,
30961,223,638,0,0
,,,,
30975,223,638,0,0
,,,,
30986,223,638,0,0
,,,,
30997,223,638,0,0
,,,,
31011,223,638,0,0
,,,,
31024,223,638,0,0
,,,,
31036,223,638,0,0
,,,,
31051,223,638,0,0
,,,,
31064,223,638,0,0
,,,,
31079,223,638,0,0
,,,,
31093,223,638,0,0
,,,,
31106,230,638,0,0
,,,,
31119,237,638,0,0
,,,,
31135,244,638,0,0
,,,,
