TicksTime,BallPosX,BallPosY,BallSpeed,PosF,PosPC,ScoreF,ScorePC
25153,959,180,4,223,516,0,0
,,,,,,,
25166,955,176,4,223,516,0,0
,,,,,,,
25179,951,172,4,223,516,0,0
,,,,,,,
25194,947,168,4,223,516,0,0
,,,,,,,
25207,943,164,4,223,516,0,0
,,,,,,,
25219,939,160,4,223,516,0,0
,,,,,,,
25234,935,156,4,223,516,0,0
,,,,,,,
25248,931,152,4,223,516,0,0
,,,,,,,
25260,927,148,4,223,516,0,0
,,,,,,,
25274,923,144,4,223,516,0,0
,,,,,,,
25287,919,140,4,223,516,0,0
,,,,,,,
25300,915,136,4,223,516,0,0
,,,,,,,
25315,911,132,4,223,516,0,0
,,,,,,,
25327,907,128,4,223,516,0,0
,,,,,,,
25341,903,124,4,223,516,0,0
,,,,,,,
25356,899,120,4,223,516,0,0
,,,,,,,
25368,895,116,4,223,516,0,0
,,,,,,,
25383,891,112,4,223,516,0,0
,,,,,,,
25396,887,108,4,223,516,0,0
,,,,,,,
25409,883,104,4,223,516,0,0
,,,,,,,
25422,879,100,4,223,516,0,0
,,,,,,,
25435,875,96,4,223,516,0,0
,,,,,,,
25449,871,92,4,223,516,0,0
,,,,,,,
25460,867,88,4,223,516,0,0
,,,,,,,
25473,863,84,4,216,516,0,0
,,,,,,,
25486,859,80,4,209,516,0,0
,,,,,,,
25500,855,76,4,202,516,0,0
,,,,,,,
25514,851,72,4,195,516,0,0
,,,,,,,
25527,847,68,4,188,516,0,0
,,,,,,,
25540,843,64,4,181,516,0,0
,,,,,,,
25552,839,60,4,174,516,0,0
,,,,,,,
25566,835,56,4,167,516,0,0
,,,,,,,
25578,831,52,4,160,516,0,0
,,,,,,,
25591,827,48,4,153,516,0,0
,,,,,,,
25605,823,44,4,146,516,0,0
,,,,,,,
25617,819,40,4,139,516,0,0
,,,,,,,
25631,815,36,4,132,516,0,0
,,,,,,,
25642,811,32,4,125,516,0,0
,,,,,,,
25656,807,28,4,118,516,0,0
,,,,,,,
25668,803,24,4,118,516,0,0
,,,,,,,
